Order No.,Date,Perfume Article No.,Perfume Name,Quantity,Original Price,Discount,After Discount Amount,Total Amount,Customer Age,Customer Gender,Customer Location,Customer Number
1000,08/07/2023,P953,Floral Elegance,1,125,5,120,120,59,Female,Colemouth,C6391
1001,09/07/2023,P446,Patchouli Passion,2,94,10,84,168,58,Male,Mortonborough,C7640
1002,10/07/2023,P241,Amber Romance,2,113,10,103,206,30,Female,West Brianburgh,C8092
1003,11/07/2023,P807,Patchouli Passion,1,146,0,146,146,41,Male,Williamschester,C1962
1004,12/07/2023,P444,Rose Petals,2,53,15,38,76,32,Female,New Diana,C3654
1004,12/07/2023,P493,Sandalwood Serenity,2,99,20,79,158,70,Female,Sotostad,C2498
1004,12/07/2023,P736,Vanilla Delight,3,45,15,30,90,44,Female,New Nicholasfort,C7485
1007,13/07/2023,P134,Woodland Fantasy,2,106,5,101,202,19,Male,North Christopherhaven,C5589
1007,13/07/2023,P180,Citrus Zest,1,100,0,100,100,32,Female,Edwardmouth,C3488
1007,13/07/2023,P803,Exotic Spice,2,117,5,112,224,25,Male,South Jacobville,C6846
1007,13/07/2023,P836,Jasmine Whisper,3,137,10,127,381,63,Male,North Christophershire,C1105
1011,14/07/2023,P156,Ocean Breeze,3,111,15,96,288,52,Male,Harthaven,C1844
1011,14/07/2023,P427,Spiced Citrus,1,108,0,108,108,36,Male,North Michael,C3807
1013,15/07/2023,P507,Aromatic Garden,1,42,15,27,27,27,Female,Washingtonchester,C6753
1013,15/07/2023,P986,Jasmine Whisper,3,121,10,111,333,34,Male,Perrychester,C6864
1015,16/07/2023,P479,Woodland Fantasy,3,135,0,135,405,22,Male,Bettyland,C8913
1016,17/07/2023,P141,Ocean Breeze,1,121,15,106,106,42,Male,Port Jason,C4354
1016,17/07/2023,P384,Jasmine Whisper,2,49,20,29,58,43,Female,Hudsonview,C3650
1018,18/07/2023,P355,Vanilla Delight,2,121,0,121,242,32,Male,Lake Kennethmouth,C8536
1018,18/07/2023,P382,Amber Romance,1,42,10,32,32,44,Female,Gonzalesfurt,C1028
1018,18/07/2023,P606,Oud Opulence,3,150,20,130,390,23,Female,Dianaborough,C6115
1021,19/07/2023,P112,Spiced Citrus,3,55,0,55,165,60,Female,Morrisonmouth,C5346
1021,19/07/2023,P974,Eau de Blossom,1,133,20,113,113,47,Female,Lake Carol,C8187
1023,20/07/2023,P163,Citrus Zest,3,77,0,77,231,25,Female,Danaland,C6715
1023,20/07/2023,P462,Rose Petals,1,106,0,106,106,49,Female,South Shane,C8235
1025,21/07/2023,P382,Rose Petals,2,109,15,94,188,63,Male,Port Raymond,C1636
1025,21/07/2023,P534,Floral Elegance,1,100,20,80,80,46,Female,New Matthew,C9337
1025,21/07/2023,P924,Floral Elegance,1,48,15,33,33,36,Female,New Sabrinachester,C8483
1025,21/07/2023,P971,Oud Opulence,2,56,20,36,72,19,Female,Kelseyville,C6659
